Geneid	syn	length	gc
ENST00000488147.1	ENSG00000227232.5	WASH7P	1351	0.611
ENST00000619216.1	ENSG00000278267.1	MIR6859-1	68	0.618
ENST00000607096.1	ENSG00000284332.1	MIR1302-2	138	0.312
ENST00000606857.1	ENSG00000268020.3	OR4G4P	840	0.377
ENST00000495576.1	ENSG00000239945.1	AL627309.3	1319	0.475
ENST00000442987.3	ENSG00000233750.3	CICP27	3812	0.597
ENST00000494149.2	ENSG00000268903.1	AL627309.6	755	0.677
ENST00000595919.1	ENSG00000269981.1	AL627309.7	284	0.644
ENST00000493797.1	ENSG00000239906.1	AL627309.2	323	0.539
ENST00000410691.1	ENSG00000222623.1	RNU6-1100P	104	0.394
ENST00000496488.1	ENSG00000241599.1	AL627309.4	457	0.4
ENST00000624431.2	ENSG00000279928.2	FO538757.1	570	0.577
ENST00000623083.4	ENSG00000279457.4	WASH9P	1397	0.617
ENST00000612080.1	ENSG00000273874.1	MIR6859-2	68	0.618
ENST00000669836.1	ENSG00000286448.1	AP006222.2	736	0.463
ENST00000458203.2	ENSG00000236679.2	RPL23AP24	385	0.504
ENST00000437905.2	ENSG00000269732.1	WBP1LP7	363	0.51
ENST00000426406.3	ENSG00000284733.1	OR4F29	995	0.457
ENST00000432723.3	ENSG00000233653.3	CICP7	2477	0.617
ENST00000514436.1	ENSG00000250575.1	AL732372.3	1239	0.651
ENST00000614007.1	ENSG00000278757.1	U6	104	0.394
ENST00000416931.1	ENSG00000225972.1	MTND1P23	372	0.444
ENST00000457540.1	ENSG00000225630.1	MTND2P28	1044	0.431
ENST00000414273.1	ENSG00000237973.1	MTCO1P12	1543	0.458
ENST00000621981.1	ENSG00000278791.1	AC114498.2	89	0.494
ENST00000427426.1	ENSG00000229344.1	MTCO2P12	682	0.453
ENST00000467115.1	ENSG00000240409.1	MTATP8P1	207	0.382
ENST00000514057.1	ENSG00000248527.1	MTATP6P1	681	0.439
ENST00000416718.2	ENSG00000198744.5	MTCO3P12	547	0.483
ENST00000438434.2	ENSG00000268663.1	WBP1LP6	424	0.512
ENST00000332831.4	ENSG00000284662.1	OR4F16	995	0.457
ENST00000440782.3	ENSG00000229376.3	CICP3	2455	0.613
ENST00000411249.1	ENSG00000223181.1	RNU6-1199P	104	0.394
ENST00000422528.1	ENSG00000229905.1	AL669831.2	456	0.401
ENST00000644482.1	ENSG00000285268.1	AL669831.6	114	0.386
ENST00000326734.2	ENSG00000177757.2	FAM87B	1947	0.503
ENST00000473798.1	ENSG00000225880.5	LINC00115	1317	0.527
ENST00000415481.1	ENSG00000234711.1	TUBB8P11	1058	0.554
ENST00000635557.1	ENSG00000283040.1	AL669831.5	837	0.556
ENST00000607769.1	ENSG00000272438.1	AL645608.6	351	0.627
ENST00000448179.1	ENSG00000230699.2	AL645608.2	3043	0.597
ENST00000398216.2	ENSG00000241180.1	AL645608.4	443	0.6
ENST00000606034.1	ENSG00000272512.1	AL645608.7	2086	0.662
ENST00000423619.2	ENSG00000231702.2	AL645608.3	154	0.448
ENST00000458555.1	ENSG00000224969.1	AL645608.1	471	0.456
ENST00000418300.1	ENSG00000242590.1	AL645608.5	402	0.595
ENST00000442292.2	ENSG00000273443.1	AL645608.8	829	0.649
ENST00000453464.3	ENSG00000237330.3	RNF223	1900	0.656
ENST00000648183.1	ENSG00000285812.1	AL390719.3	1095	0.456
ENST00000416774.1	ENSG00000223823.1	LINC01342	1620	0.647
ENST00000384997.3	ENSG00000207730.3	MIR200B	95	0.6
ENST00000384875.3	ENSG00000207607.3	MIR200A	90	0.556
ENST00000362106.1	ENSG00000198976.1	MIR429	83	0.578
ENST00000606993.1	ENSG00000272141.1	AL390719.2	987	0.658
ENST00000379317.1	ENSG00000205231.1	TTLL10-AS1	3532	0.618
ENST00000379198.5	ENSG00000176022.7	B3GALT6	2805	0.642
ENST00000565563.1	ENSG00000260179.1	AL162741.1	1558	0.557
ENST00000613751.1	ENSG00000278073.1	MIR6726	61	0.705
ENST00000620702.1	ENSG00000283712.1	MIR6727	65	0.723
ENST00000444968.1	ENSG00000240731.1	AL139287.1	386	0.42
ENST00000339381.6	ENSG00000169962.5	TAS1R3	3475	0.659
ENST00000616525.1	ENSG00000284372.1	MIR6808	59	0.695
ENST00000435351.2	ENSG00000223663.2	NDUFB4P8	367	0.488
ENST00000582431.2	ENSG00000264293.2	RN7SL657P	293	0.546
ENST00000607307.1	ENSG00000272455.1	MRPL20-DT	1523	0.494
ENST00000428932.1	ENSG00000225905.1	AL391244.1	543	0.74
ENST00000378821.3	ENSG00000205116.3	TMEM88B	492	0.758
ENST00000621860.1	ENSG00000274481.1	AL691432.3	400	0.637
ENST00000422725.4	ENSG00000228594.4	FNDC10	2124	0.707
ENST00000658591.1	ENSG00000286989.1	AL691432.4	1830	0.645
ENST00000607222.1	ENSG00000272106.1	AL691432.2	2038	0.574
ENST00000607013.1	ENSG00000272004.1	FO704657.1	400	0.517
ENST00000234610.5	ENSG00000215914.4	MMP23A	1017	0.687
ENST00000598846.1	ENSG00000268575.1	AL031282.2	5079	0.525
ENST00000412228.1	ENSG00000231050.1	AL109917.1	906	0.658
ENST00000606533.1	ENSG00000271806.1	AL590822.2	4196	0.557
ENST00000442483.2	ENSG00000234396.3	AL590822.1	326	0.601
ENST00000607720.1	ENSG00000272161.1	AL589739.1	493	0.621
ENST00000607858.1	ENSG00000272420.1	AL513477.2	568	0.361
ENST00000424657.1	ENSG00000224387.1	AL139246.1	455	0.631
ENST00000442305.1	ENSG00000229393.1	AL139246.4	514	0.671
ENST00000378453.4	ENSG00000197921.6	HES5	1324	0.665
ENST00000456687.3	ENSG00000225931.3	AL139246.2	1297	0.641
ENST00000424215.1	ENSG00000228037.1	AL139246.3	626	0.484
ENST00000427302.1	ENSG00000237058.1	MMEL1-AS1	373	0.534
ENST00000648684.1	ENSG00000285945.1	AC242022.2	593	0.531
ENST00000638002.1	ENSG00000283259.1	AC242022.1	1565	0.581
ENST00000457440.1	ENSG00000233234.1	AL592464.2	607	0.565
ENST00000664694.1	ENSG00000287396.1	AL592464.3	663	0.51
